sl_no,district,tfc_number,centre_name,address,full_address,search_query,google_maps_url,latitude,longitude,geocode_provider,geocode_address,geocode_status
99,Tirupathur,13,"Government Polytechnic College, Jolarpet",Thirupathur - 635651,"Government Polytechnic College, Jolarpet, Thirupathur - 635651","Government Polytechnic College, Jolarpet, Thirupathur - 635651, Tirupathur, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Jolarpet%2C+Thirupathur+-+635651%2C+Tirupathur%2C+Tamil+Nadu%2C+India,12.5242,78.5424,arcgis,"635651, Tiruppattur, Tamil Nadu",resolved
100,Tiruppur,25,Chikkanna Government Arts College Tirupur,641602,Chikkanna Government Arts College Tirupur 641602,"Chikkanna Government Arts College Tirupur 641602, Tiruppur, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Chikkanna+Government+Arts+College+Tirupur+641602%2C+Tiruppur%2C+Tamil+Nadu%2C+India,11.108091,77.318591,arcgis,Chikkanna Government Arts College,resolved
101,Tiruvannamalai,14,"Government Polytechnic College, Cheyyar-",604407,"Government Polytechnic College, Cheyyar- 604407","Government Polytechnic College, Cheyyar- 604407, Tiruvannamalai, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+Cheyyar-+604407%2C+Tiruvannamalai%2C+Tamil+Nadu%2C+India,12.580722,79.580528,arcgis,Government Polytechnic College,resolved
102,Tiruvannamalai,98,"University College of Engineering Arni, Arni","To Devikapuram Road, Thatchur Village, Arni, Taluk, Tiruvannamalai - 632326","University College of Engineering Arni, Arni To Devikapuram Road, Thatchur Village, Arni Taluk, Tiruvannamalai - 632326","University College of Engineering Arni, Arni To Devikapuram Road, Thatchur Village, Arni Taluk, Tiruvannamalai - 632326, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Arni%2C+Arni+To+Devikapuram+Road%2C+Thatchur+Village%2C+Arni+Taluk%2C+Tiruvannamalai+-+632326%2C+Tamil+Nadu%2C+India,12.576113,79.276109,arcgis,"632326, Arani, Tamil Nadu",resolved
103,Vellore,12,Thanthai Periyar Govt Institute of Technology,Vellore-632002,Thanthai Periyar Govt Institute of Technology Vellore-632002,"Thanthai Periyar Govt Institute of Technology Vellore-632002, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Thanthai+Periyar+Govt+Institute+of+Technology+Vellore-632002%2C+Tamil+Nadu%2C+India,12.8797247,79.1235404,arcgis,Thanthai Periyar Government Institute Of Technology,resolved
104,Vellore,105,Thanthai Periyar E.V.Ramasamy,"Government Polytechnic College, Sivaramapuram, Vellore -632002","Thanthai Periyar E.V.Ramasamy Government Polytechnic College, Sivaramapuram, Vellore -632002","Thanthai Periyar E.V.Ramasamy Government Polytechnic College, Sivaramapuram, Vellore -632002, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Thanthai+Periyar+E.V.Ramasamy+Government+Polytechnic+College%2C+Sivaramapuram%2C+Vellore+-632002%2C+Tamil+Nadu%2C+India,12.8730883,79.1250169,arcgis,"632002, Bagayam, Tamil Nadu",resolved
105,Viluppuram,18,Govt Polytechnic College No 27,"Kandachipuram Main Road Arakandanallur, Post Tirukoilur Taluk",Govt Polytechnic College No 27 Kandachipuram Main Road Arakandanallur Post Tirukoilur Taluk,"Govt Polytechnic College No 27 Kandachipuram Main Road Arakandanallur Post Tirukoilur Taluk, Viluppuram, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Govt+Polytechnic+College+No+27+Kandachipuram+Main+Road+Arakandanallur+Post+Tirukoilur+Taluk%2C+Viluppuram%2C+Tamil+Nadu%2C+India,12.1397563,79.5396801,arcgis,"Viluppuram, Tamil Nadu",resolved
106,Viluppuram,106,University College of Engineering Tindivanam,"& Melpakkam Post, Tindivanam, Villupuram, Dt. - 604307","University College of Engineering Tindivanam & Melpakkam Post, Tindivanam, Villupuram Dt. - 604307","University College of Engineering Tindivanam & Melpakkam Post, Tindivanam, Villupuram Dt. - 604307, Viluppuram, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Tindivanam+%26+Melpakkam+Post%2C+Tindivanam%2C+Villupuram+Dt.+-+604307%2C+Viluppuram%2C+Tamil+Nadu%2C+India,12.289472,79.719806,arcgis,University College Of Engineering,resolved
107,Viluppuram,107,University College of Engineering Villupuram,"Kakuppam, Villupuram-605103","University College of Engineering Villupuram, Kakuppam, Villupuram-605103","University College of Engineering Villupuram, Kakuppam, Villupuram-605103, Viluppuram, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Villupuram%2C+Kakuppam%2C+Villupuram-605103%2C+Viluppuram%2C+Tamil+Nadu%2C+India,11.9508693,79.5132222,arcgis,Villupuram University College of Engineering,resolved
108,Virudhunagar,46,V.V.Vanniaperumal College For Women,"Madurai Road, Virudhunagar","V.V.Vanniaperumal College For Women, Madurai Road, Virudhunagar","V.V.Vanniaperumal College For Women, Madurai Road, Virudhunagar, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=V.V.Vanniaperumal+College+For+Women%2C+Madurai+Road%2C+Virudhunagar%2C+Tamil+Nadu%2C+India,9.608938,77.955817,arcgis,Vv Vannai Perumal College For Women,resolved
109,Virudhunagar,108,P.A.C. Ramasamy Raja Polytechnic College,Rajapalayam 626108,"P.A.C. Ramasamy Raja Polytechnic College, Rajapalayam 626108","P.A.C. Ramasamy Raja Polytechnic College, Rajapalayam 626108, Virudhunagar, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=P.A.C.+Ramasamy+Raja+Polytechnic+College%2C+Rajapalayam+626108%2C+Virudhunagar%2C+Tamil+Nadu%2C+India,9.431511,77.561878,arcgis,PAC Ramasamy Raja Polytechnic College,resolved
110,Virudhunagar,109,Ayyanadar Janakiammal Polytechnic,"College, Chinnakkamanpatti (PO), Sivakasi, East - 626189","Ayyanadar Janakiammal Polytechnic College, Chinnakkamanpatti (PO), Sivakasi East - 626189","Ayyanadar Janakiammal Polytechnic College, Chinnakkamanpatti (PO), Sivakasi East - 626189, Virudhunagar, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Ayyanadar+Janakiammal+Polytechnic+College%2C+Chinnakkamanpatti+%28PO%29%2C+Sivakasi+East+-+626189%2C+Virudhunagar%2C+Tamil+Nadu%2C+India,9.412579,77.857482,arcgis,Ayya Nadar Janaki Ammal Polytechnic College,resolved
