rank,college_code,college_name,district,composite_score,selectivity_score,academic_quality_score,branch_strength_score,institutional_quality_score,web_reputation_score,trend_score
153,3760,"Sir Issac Newton College of Engineering and Technology, Anthanapeetai Post, Papakoil, Nagappattinam District 611102",,49.6817,50.1133,50.5027,49.7755,43.6628,50.0,50.0
154,3465,"Government College of Engineering, Srirangam, Sethurappatti, Tiruchirappalli District 620012",,49.6768,52.0651,55.2836,43.5746,19.6977,50.0,57.5
155,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",,49.5724,46.7395,49.6294,39.8673,84.3023,57.7511,21.25
156,1310,"Misrimal Navajee Munoth Jain Engineering College, Rajiv Gandhi Salai (OMR), Thorappakkam, Chennai 600096",Chengalpattu,49.4667,51.0754,50.8907,50.593,22.3837,50.0,72.9167
157,4975,"Dr. G U Pope College of Engineering, Sawyerpuram, Thoothukudi District 628251",,49.4611,49.0949,48.1368,50.7773,66.1686,47.9431,29.1667
158,4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626115",,49.4365,45.9961,47.8719,47.2854,80.436,50.9481,35.4167
159,2360,"Suguna College of Engineering, Kalappatti Road, Civil Aerodrome Post, Coimbatore District 641014",,49.3674,50.9619,50.53,51.578,33.1977,50.0,50.0
160,4686,"Good Shepherd College of Engineering and Technology, Maruthamparai, Kanyakumari District 629101",,49.3419,51.0322,50.1834,51.8919,41.3256,50.0,34.5833
161,3454,"Sri Ramakrishna College of Engineering, Sri Saradha Nagar, NH-45, Perambalur District 621113",,49.3354,50.4039,49.5508,52.6801,41.3256,45.3938,50.0
162,2342,"Sri Ranganathar Institute of Engineering and Technology, Thudialur-Kovilpalay Road, Coimbatore District 641110",,49.2957,47.5807,47.3721,48.969,68.2791,45.3938,50.0
163,4961,"Nellai College of Engineering (Formerly National College of Engineering), Maruthakulam Post, Tirunelveli District 627151",,49.2847,51.7168,51.3371,52.0779,24.5814,50.0,50.0
164,3701,"K Ramakrishnan College of Technology (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",,49.2788,46.2519,47.511,49.9744,87.686,50.0,11.25
165,1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District 635854",,49.2736,50.1656,50.5304,49.9867,37.0,51.1943,50.0
166,1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur Taluk, Kancheepuram District 602117",,49.2711,51.8205,51.7219,51.423,23.2558,50.0,50.0
167,2763,"Akshaya College of Engineering and Technology, Kinathukadavu, Coimbatore District 642109",,49.2347,48.4924,48.2818,50.2254,49.2093,50.0,60.0
168,2753,"PPG Institute of Technology, Vilankurichi Village, Coimbatore District 641035",,49.2102,51.1077,50.0429,51.2826,33.1977,49.9637,50.0
169,3852,"Sri Bharathi Engineering College for Women, Kaikkuruchi Village, Alangudi Taluk, Pudukkottai District 622303",,49.2088,50.1888,49.2884,52.105,33.1977,50.0,62.0833
170,4984,"Marthandam College of Engineering & Technology, Kuttakuzhi, Veeyanoor Post, Kanyakumari District 629177",,49.2055,51.8789,51.5986,52.0654,21.7558,50.0,50.0
171,1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",,49.1178,48.1447,47.3035,50.5233,57.4767,50.0,51.25
172,3807,"J J College of Engineering and Technology, Poolankulathupatti Post, Thiruchirappalli District 620009",,49.1074,46.6151,47.0286,45.8233,58.6628,45.3938,85.4167
173,2758,"J K K Munirajah College of Technology, T N Palayam, Gobi Taluk, Erode District 638506",,49.0886,48.2599,48.2419,48.3912,56.3256,50.0,50.0
174,1316,"Agni College of Technology (Autonomous), Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",,49.0696,45.718,46.0362,49.9037,88.7558,50.0,21.6667
175,4678,"Ramco Institute of Technology, North venganallur Village, Krishnapuram Panchayat, Rajapalayam, Virudhunagar District 626117",,49.0207,46.1189,50.7627,42.799,65.9535,50.0,42.5
176,1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",,48.9465,51.284,50.2599,52.8866,28.5233,52.1312,41.25
177,3850,"Vetri Vinayaha College of Engineering and Technology, Namakkal-Trichy Main Road, Tholurpatti Village, Thottiam, Tiruchirappalli District 621215",,48.9241,50.4756,49.9985,50.8533,33.1977,50.0,50.0
178,5832,"N P R College of Engineering and Technology, Natham, Dindigul District 624401",,48.9199,46.3863,46.4263,46.5626,82.0581,50.0,32.0833
179,3821,"A R J College of Engineering and Technology, Mannargudi Taluk, Thiruvarur District 614001",,48.9041,50.6986,49.887,50.3608,33.1977,50.0,50.0
180,3849,"Annai College of Engineering and Technology, Anakudi Road, Kovilacheri, Kumbakonam, Thanjavur District 612503",,48.8802,51.28,50.401,52.1141,24.5814,51.1943,50.0
181,4933,"St. Mother Theresa Engineering College, Vagaikulam, Thoothukudi District 628102",,48.8624,49.8658,49.611,51.1642,33.1977,50.0,56.25
182,5914,"Solamalai College of Engineering, Veerapanjan, Madurai District 625020",,48.8276,49.7611,49.3478,49.8174,39.5814,49.9152,50.0
183,4934,"Holy Cross Engineering College, Vagaikulam, Sri Mulakarai, Srivaikuntam, Thoothukudi District 628851",,48.7571,49.6987,49.1335,50.5755,38.7093,50.0,50.0
184,4024,"University V.O.C. College of Engineering, Thoothukudi, Near V.O.C. College, Millerpuram, Thoothukudi District 628008",,48.7339,48.9502,50.525,46.9034,33.1977,50.0,65.8333
185,2343,"Indian Institute of Handloom Technology, Foulke s Compound, Thillai Nagar, Salem District 636001",,48.725,50.1456,50.0018,42.0492,33.1977,51.1943,72.5
186,2761,"United Institute of Technology, Periyanaickenpalayam, Coimbatore District 641020",,48.6523,48.7948,47.5036,50.7984,37.9419,50.0,70.4167
187,2652,"AL-Ameen Engineering College (Autonomous), Karundevan Palayam, Nanjai Uthukuli Post, Erode District 638104",,48.6119,45.7182,46.1436,42.0492,78.5814,52.1312,50.0
188,1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105",,48.5022,48.9875,48.3066,49.2635,58.6628,35.1877,43.3333
189,2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District 641110",,48.4944,51.4054,50.6924,51.4434,19.8372,50.0,50.0
